wave_ref,dc,d_prime
l470,0.227222931,0.73
l470,0.55304239,1.46
l470,0.794472981,2.19
l470,0.909535626,2.92
l470,0.954819409,3.65
l480,0.111834903,0.71
l480,0.338932533,1.42
l480,0.664689347,2.13
l480,0.906099177,2.84
l480,1.021154777,3.55
l490,0.050495215,1
l490,0.160613542,2
l490,0.386702809,3
l490,0.71204416,4
l490,0.953320445,5
l500,0.055383271,1.41
l500,0.087366611,2.82
l500,0.177622343,4.23
l500,0.393952041,5.64
l500,0.715667162,7.05
l510,0.136009883,1.06
l510,0.188448035,2.12
l510,0.199539833,3.18
l510,0.231881,4.24
l510,0.392213106,5.3
l520,0.251159086,1.05
l520,0.386916278,2.1
l520,0.437725045,3.15
l520,0.439893666,4.2
l520,0.43023058,5.25
l530,0.279592073,0.99
l530,0.530710432,1.98
l530,0.666295146,2.97
l530,0.716381498,3.96
l530,0.715363942,4.95
l540,0.188171602,1.13
l540,0.467743867,2.26
l540,0.71882552,3.39
l540,0.854320207,4.52
l540,0.904106166,5.65
l550,0.185166853,1.29
l550,0.373269312,2.58
l550,0.652855841,3.87
l550,0.903939862,5.16
l550,1.039400164,6.45
l560,0.030208152,1.05
l560,0.21250164,2.1
l560,0.400636439,3.15
l560,0.680138253,4.2
l560,0.931144143,5.25
l570,0.079856506,0.9
l570,0.08131333,1.8
l570,0.183892388,2.7
l570,0.364424581,3.6
l570,0.640243043,4.5
l580,0.138293535,1.11
l580,0.216508691,2.22
l580,0.219227134,3.33
l580,0.239293429,4.44
l580,0.373940524,5.55
l590,0.224038258,1.65
l590,0.358299777,3.3
l590,0.438020545,4.95
l590,0.436398119,6.6
l590,0.385149601,8.25
l600,0.298662029,2.97
l600,0.52004156,5.94
l600,0.656347816,8.91
l600,0.735819882,11.88
l600,0.734982584,14.85
l610,0.19600494,2.18
l610,0.494429379,4.36
l610,0.716005579,6.54
l610,0.852333413,8.72
l610,0.931823077,10.9
l620,0.10666063,1.66
l620,0.302664686,3.32
l620,0.601007685,4.98
l620,0.822659125,6.64
l620,0.958979713,8.3
l630,0.090747795,1.04
l630,0.197408351,2.08
l630,0.3934116,3.12
l630,0.691700394,4.16
l630,0.913403606,5.2
l640,0.048534265,1.02
l640,0.139279744,2.04
l640,0.2459393,3.06
l640,0.441940357,4.08
l640,0.740189591,5.1
l650,0.032438448,0.52
l650,0.016096498,1.04
l650,0.106841661,1.56
l650,0.213501701,2.08
l650,0.409503832,2.6
l660,0.013893726,0.49
l660,0.018544743,0.98
l660,0.029989637,1.47
l660,0.120735282,1.96
l660,0.227395153,2.45